Unnamed: 0,state,group_size,homeowner,car_age,car_value,risk_factor,age_oldest,age_youngest,married_couple,C_previous,duration_previous,A,B,C,D,E,F,G,cost,car_age_bins,age_oldest_bins,age_youngest_bins,duration_previous_bins
0,OK,1,0,9,f,0.0,24,24,0,3.0,9.0,0,0,1,1,0,0,4,543,"(5, 10]","(15, 25]","(15, 25]","(6, 9]"
1,OK,1,0,9,f,0.0,24,24,0,3.0,9.0,2,1,1,3,1,3,2,611,"(5, 10]","(15, 25]","(15, 25]","(6, 9]"
2,PA,1,1,7,f,0.0,74,74,0,2.0,15.0,2,0,2,3,1,2,2,691,"(5, 10]","(65, 75]","(65, 75]","(12, 15]"
3,PA,1,1,7,f,0.0,74,74,0,2.0,15.0,2,0,2,3,1,2,2,695,"(5, 10]","(65, 75]","(65, 75]","(12, 15]"
4,AR,1,0,4,d,4.0,26,26,0,3.0,1.0,1,0,1,1,0,2,2,628,"(0, 5]","(25, 35]","(25, 35]","(0, 3]"
5,AR,1,0,4,d,4.0,26,26,0,3.0,1.0,1,0,2,1,0,2,2,625,"(0, 5]","(25, 35]","(25, 35]","(0, 3]"
6,AR,1,0,4,d,4.0,26,26,0,3.0,1.0,1,0,2,1,0,2,2,628,"(0, 5]","(25, 35]","(25, 35]","(0, 3]"
7,OK,1,0,13,f,3.0,22,22,0,0.0,0.0,0,0,1,1,0,0,2,596,"(10, 15]","(15, 25]","(15, 25]",
8,OK,1,0,13,f,3.0,22,22,0,0.0,0.0,2,0,1,1,0,3,2,711,"(10, 15]","(15, 25]","(15, 25]",
9,OK,1,0,13,f,3.0,22,22,0,0.0,0.0,2,0,1,1,0,3,2,722,"(10, 15]","(15, 25]","(15, 25]",
10,OK,1,0,13,f,3.0,22,22,0,0.0,0.0,2,0,1,1,0,3,2,722,"(10, 15]","(15, 25]","(15, 25]",
11,OK,1,0,13,f,3.0,22,22,0,1.0,3.0,2,0,1,1,0,3,2,673,"(10, 15]","(15, 25]","(15, 25]","(0, 3]"
12,OK,1,0,13,f,3.0,22,22,0,1.0,3.0,2,0,1,1,0,2,2,683,"(10, 15]","(15, 25]","(15, 25]","(0, 3]"
13,OK,1,0,13,f,3.0,22,22,0,1.0,3.0,2,0,1,1,0,2,4,700,"(10, 15]","(15, 25]","(15, 25]","(0, 3]"
14,OK,1,0,13,f,3.0,22,22,0,1.0,3.0,2,0,1,1,0,2,3,689,"(10, 15]","(15, 25]","(15, 25]","(0, 3]"
15,OK,1,0,13,f,3.0,22,22,0,1.0,3.0,2,0,1,1,1,2,3,692,"(10, 15]","(15, 25]","(15, 25]","(0, 3]"
16,WA,1,0,11,e,0.0,27,27,0,3.0,12.0,0,0,1,1,0,0,1,625,"(10, 15]","(25, 35]","(25, 35]","(9, 12]"
17,WA,1,0,11,e,0.0,27,27,0,3.0,12.0,0,0,1,1,0,0,1,625,"(10, 15]","(25, 35]","(25, 35]","(9, 12]"
